"section","utid","pairs","mean_ns","p50_ns","p90_ns","p99_ns","max_ns"
"HOLD_WRITE_BY_THREAD",9,2,192336681.000000,104509279,280164083,280164083,280164083
"HOLD_WRITE_BY_THREAD",2,2,463347393.500000,75971007,850723780,850723780,850723780
"HOLD_WRITE_BY_THREAD",5,1,96569119.000000,96569119,96569119,96569119,96569119
"HOLD_READ_BY_THREAD",9,4,50056404.500000,6770,104461858,104461858,104461858
"HOLD_READ_BY_THREAD",2,4,42717588.000000,8683,94938709,94938709,94938709
"HOLD_READ_BY_THREAD",5,2,48261891.000000,5700,96518082,96518082,96518082

"section","n"
"UNPAIRED_WRITE_ACQ",5
