"section","utid","pairs","mean_ns","min_ns","max_ns","p50_ns","p90_ns","p99_ns"
"READ_SECTION","*",10,46761975.200000,3312,104461858,8683,96518082,104461858
"READ_SECTION","2",4,42717588.000000,4497,94938709,8683,94938709,94938709
"READ_SECTION","5",2,48261891.000000,5700,96518082,5700,96518082,96518082
"READ_SECTION","9",4,50056404.500000,3312,104461858,6770,104461858,104461858
"WRITE_SECTION","*",10,12974.000000,7310,19826,10561,19200,19826
"WRITE_SECTION","2",4,14807.000000,10411,19200,10890,19200,19200
"WRITE_SECTION","5",2,13911.000000,7996,19826,7996,19826,19826
"WRITE_SECTION","9",4,10672.500000,7310,17038,7781,17038,17038
