# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 367K of event 'cpu-clock:k'
# Event count (approx.): 91929000000
#
# Overhead  Command          Shared Object      Symbol                                       
# ........  ...............  .................  .............................................
#
     0.02%  arena_stress     [kernel.kallsyms]  [k] call_function_single_prep_ipi
     0.02%  arena_stress     [kernel.kallsyms]  [k] __tlb_remove_folio_pages_size.constprop.0
     0.02%  arena_stress     [kernel.kallsyms]  [k] __folio_throttle_swaprate
     0.02%  arena_stress     [kernel.kallsyms]  [k] x64_sys_call
     0.02%  arena_stress     [kernel.kallsyms]  [k] __cond_resched
     0.02%  arena_stress     [kernel.kallsyms]  [k] _raw_write_unlock_bh
     0.02%  arena_stress     [kernel.kallsyms]  [k] handle_softirqs
     0.02%  arena_stress     [kernel.kallsyms]  [k] osq_unlock
     0.02%  arena_stress     [kernel.kallsyms]  [k] corten_arena_munmap_route
     0.02%  arena_stress     [kernel.kallsyms]  [k] page_counter_cancel
     0.01%  arena_stress     [kernel.kallsyms]  [k] corten_arena_mmap_route
     0.01%  arena_stress     [kernel.kallsyms]  [k] corten_meta_ensure_locked
     0.01%  arena_stress     [kernel.kallsyms]  [k] tlb_gather_mmu
     0.01%  arena_stress     [kernel.kallsyms]  [k] file_map_prot_check
     0.01%  arena_stress     [kernel.kallsyms]  [k] tlb_finish_mmu
     0.01%  perf             [kernel.kallsyms]  [k] new_slab
     0.01%  arena_stress     [kernel.kallsyms]  [k] corten_arena_unmap_chunk
     0.01%  arena_stress     [kernel.kallsyms]  [k] pte_mkwrite
     0.01%  arena_stress     [kernel.kallsyms]  [k] static_key_count
     0.01%  arena_stress     [kernel.kallsyms]  [k] __do_sys_munmap
     0.01%  arena_stress     [kernel.kallsyms]  [k] corten_unlock
     0.01%  arena_stress     [kernel.kallsyms]  [k] kthread_blkcg
     0.01%  arena_stress     [kernel.kallsyms]  [k] mm_trace_rss_stat
     0.01%  arena_stress     [kernel.kallsyms]  [k] __tlb_remove_page_size
     0.01%  arena_stress     [kernel.kallsyms]  [k] __mem_cgroup_uncharge_folios
     0.01%  arena_stress     [kernel.kallsyms]  [k] security_mmap_file
     0.01%  arena_stress     [kernel.kallsyms]  [k] cap_mmap_addr
     0.01%  arena_stress     [kernel.kallsyms]  [k] vm_mmap_pgoff
     0.01%  arena_stress     [kernel.kallsyms]  [k] do_mmap
     0.01%  arena_stress     [kernel.kallsyms]  [k] selinux_mmap_file
     0.01%  arena_stress     [kernel.kallsyms]  [k] __x64_sys_munmap
     0.00%  arena_stress     [kernel.kallsyms]  [k] rwsem_down_write_slowpath
     0.00%  arena_stress     [kernel.kallsyms]  [k] native_send_call_func_single_ipi
     0.00%  arena_stress     [kernel.kallsyms]  [k] __x64_sys_mmap
     0.00%  arena_stress     [kernel.kallsyms]  [k] free_swap_cache
     0.00%  arena_stress     [kernel.kallsyms]  [k] _raw_spin_unlock_irq
     0.00%  arena_stress     [kernel.kallsyms]  [k] arch_get_unmapped_area_topdown
     0.00%  arena_stress     [kernel.kallsyms]  [k] ___free_pages
     0.00%  swapper          [kernel.kallsyms]  [k] tick_nohz_idle_exit
     0.00%  arena_stress     [kernel.kallsyms]  [k] __get_unmapped_area
     0.00%  arena_stress     [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.00%  arena_stress     [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.00%  arena_stress     [kernel.kallsyms]  [k] refill_stock
     0.00%  arena_stress     [kernel.kallsyms]  [k] __free_frozen_pages
     0.00%  arena_stress     [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.00%  arena_stress     [kernel.kallsyms]  [k] down_write_killable
     0.00%  arena_stress     [kernel.kallsyms]  [k] native_send_call_func_ipi
     0.00%  arena_stress     [kernel.kallsyms]  [k] exc_page_fault
     0.00%  arena_stress     [kernel.kallsyms]  [k] free_pages
     0.00%  arena_stress     [kernel.kallsyms]  [k] idle_cpu
     0.00%  arena_stress     [kernel.kallsyms]  [k] kvm_smp_send_call_func_ipi
     0.00%  arena_stress     [kernel.kallsyms]  [k] __get_pfnblock_flags_mask
     0.00%  arena_stress     [kernel.kallsyms]  [k] ksys_mmap_pgoff
     0.00%  perf             [kernel.kallsyms]  [k] memset_orig
     0.00%  arena_stress     [kernel.kallsyms]  [k] __tlb_batch_free_encoded_pages
     0.00%  arena_stress     [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.00%  arena_stress     [kernel.kallsyms]  [k] alloc_pages_noprof
     0.00%  kworker/3:0-ata  [kernel.kallsyms]  [k] _raw_spin_unlock_irq
     0.00%  swapper          [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.00%  arena_stress     [kernel.kallsyms]  [k] get_free_pages_noprof
     0.00%  arena_stress     [kernel.kallsyms]  [k] mm_get_unmapped_area_vmflags
     0.00%  arena_stress     [kernel.kallsyms]  [k] page_counter_uncharge
     0.00%  arena_stress     [kernel.kallsyms]  [k] security_mmap_addr
     0.00%  arena_stress     [kernel.kallsyms]  [k] selinux_mmap_addr
     0.00%  kworker/5:1H-kb  [kernel.kallsyms]  [k] iowrite16
     0.00%  swapper          [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.00%  arena_stress     [kernel.kallsyms]  [k] propagate_protected_usage
     0.00%  kworker/1:1-eve  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.00%  kworker/1:2-ata  [kernel.kallsyms]  [k] _raw_spin_unlock_irq
     0.00%  kworker/3:1H-kb  [kernel.kallsyms]  [k] iowrite16
